previous,current,gap_minutes,classification,category
2021-08-22 21:53:00,2021-08-22 21:56:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 22:17:00,2021-08-22 22:21:00,4.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 22:38:00,2021-08-22 22:40:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 22:40:00,2021-08-22 22:42:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 22:43:00,2021-08-22 22:46:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 22:46:00,2021-08-22 22:48:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 22:49:00,2021-08-22 22:51:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:00:00,2021-08-22 23:02:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:13:00,2021-08-22 23:15:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:19:00,2021-08-22 23:22:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:28:00,2021-08-22 23:30:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:32:00,2021-08-22 23:34:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:38:00,2021-08-22 23:40:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:46:00,2021-08-22 23:48:00,2.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-22 23:49:00,2021-08-22 23:52:00,3.0,EXPECTED_WEEKEND_CLOSURE,EXPECTED
2021-08-23 00:11:00,2021-08-23 00:13:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 01:39:00,2021-08-23 01:41:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 02:30:00,2021-08-23 02:32:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 02:36:00,2021-08-23 02:38:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 03:09:00,2021-08-23 03:11:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 03:24:00,2021-08-23 03:26:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 03:32:00,2021-08-23 03:34:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 03:48:00,2021-08-23 03:50:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 04:01:00,2021-08-23 04:04:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 04:08:00,2021-08-23 04:11:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 04:23:00,2021-08-23 04:25:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 04:28:00,2021-08-23 04:30:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 04:52:00,2021-08-23 04:56:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 05:34:00,2021-08-23 05:36:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 05:42:00,2021-08-23 05:44:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 05:46:00,2021-08-23 05:48:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 06:53:00,2021-08-23 06:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 15:53:00,2021-08-23 15:55:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 16:22:00,2021-08-23 16:24:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 16:25:00,2021-08-23 16:27:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 17:08:00,2021-08-23 17:10:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 17:35:00,2021-08-23 17:37:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 17:37:00,2021-08-23 17:41:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 17:43:00,2021-08-23 17:45:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 17:49:00,2021-08-23 17:53:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 17:55:00,2021-08-23 17:57:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:03:00,2021-08-23 18:06:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:10:00,2021-08-23 18:13:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:15:00,2021-08-23 18:19:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:20:00,2021-08-23 18:24:00,4.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:31:00,2021-08-23 18:33:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:36:00,2021-08-23 18:38:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 18:41:00,2021-08-23 18:43:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 19:00:00,2021-08-23 19:02:00,2.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
2021-08-23 19:15:00,2021-08-23 19:18:00,3.0,UNEXPECTED_SHORT_GAP,UNEXPECTED
