Datetime,Direction,Pattern,Score,ADX,Close,SL,TP
2022-09-20 15:15:00,SELL,Bearish Engulfing,8,31.440027802356646,1664.833,1667.001,1658.3290000000004
2022-09-23 13:15:00,SELL,Bearish Inside Bar,6,46.41424602139799,1652.569,1657.186,1638.718
2022-09-26 05:45:00,SELL,Bearish Pin Bar,7,32.273328387202255,1637.007,1640.725,1625.8530000000005
2022-09-28 05:45:00,SELL,Evening Star,6,25.41204102193732,1623.247,1625.483,1616.5390000000004
2022-09-28 07:15:00,SELL,Hanging Man,8,33.79458378825257,1618.578,1619.26,1616.532
2022-09-29 08:15:00,SELL,Bearish Engulfing,7,28.783660543452182,1644.608,1647.883,1634.7829999999997
2022-10-04 09:15:00,BUY,Bullish Inside Bar,6,35.89660084803857,1708.18,1705.387,1716.5590000000004
2022-10-04 19:15:00,BUY,Bullish Inside Bar,6,32.06013000511663,1725.079,1722.857,1731.745
2022-10-10 08:45:00,SELL,Bearish Inside Bar,6,36.65547846399737,1680.106,1682.01,1674.394
2022-10-10 14:15:00,SELL,Evening Star,8,30.387441808506896,1673.616,1679.071,1657.2510000000002
2022-10-10 17:15:00,SELL,Bearish Inside Bar,6,34.57478974707423,1667.997,1670.188,1661.424
2022-10-14 13:15:00,SELL,Evening Star,7,30.17407130659254,1654.567,1660.084,1638.0159999999998
2022-10-14 16:00:00,SELL,Bearish Pin Bar,9,34.81013058709346,1642.927,1649.355,1623.6429999999996
2022-10-17 22:15:00,SELL,Bearish Engulfing,9,33.48167904821973,1650.379,1651.765,1646.2209999999993
2022-10-19 10:30:00,SELL,Three Black Crows,8,30.83874079177233,1633.643,1636.384,1625.42
2022-10-21 05:45:00,SELL,Bearish Inside Bar,7,39.92094635537794,1621.332,1623.315,1615.3830000000003
2022-10-21 08:15:00,SELL,Three Black Crows,7,28.330614048529398,1621.073,1623.143,1614.8630000000003
2022-10-26 11:00:00,BUY,Bullish Engulfing,9,48.464409104566876,1670.357,1668.002,1677.422
2022-10-27 18:45:00,SELL,Bearish Engulfing,8,25.260001186325066,1658.617,1660.122,1654.1019999999996
2022-10-28 11:30:00,SELL,Bearish Pin Bar,10,53.45296750195937,1650.802,1653.415,1642.9629999999997
2022-10-28 15:00:00,SELL,Bearish Engulfing,9,49.51827877808013,1640.86,1644.308,1630.5159999999996
2022-11-03 12:15:00,SELL,Bearish Inside Bar,6,33.91454025543673,1621.877,1625.142,1612.0819999999997
2022-11-10 23:30:00,BUY,Bullish Inside Bar,8,53.23793118217151,1754.186,1752.653,1758.7849999999996
2022-11-11 06:45:00,BUY,Bullish Inside Bar,7,36.79757090004683,1758.009,1755.097,1766.7450000000001
2022-11-11 08:15:00,BUY,Bullish Inside Bar,6,37.64282900940952,1759.837,1755.692,1772.272
2022-11-14 16:30:00,BUY,Morning Star,9,38.784202357351845,1770.384,1767.238,1779.822
2022-11-22 11:15:00,BUY,Bullish Engulfing,8,31.015671246887,1748.196,1745.222,1757.1179999999997
2022-11-24 05:15:00,BUY,Bullish Harami,6,33.39694239386812,1754.48,1753.784,1756.5679999999998
2022-11-29 07:00:00,BUY,Bullish Inside Bar,6,39.83722009675912,1752.742,1751.167,1757.467
2022-11-29 08:15:00,BUY,Bullish Inside Bar,8,37.180400087533975,1755.247,1752.87,1762.3780000000006
2022-12-01 20:30:00,BUY,Morning Star,8,34.34839320656712,1803.008,1801.064,1808.84
2022-12-07 16:30:00,BUY,Morning Star,7,25.94978775937921,1780.338,1777.215,1789.707
2022-12-13 13:45:00,BUY,Bullish Pin Bar,9,29.796007106885163,1811.042,1804.036,1832.0599999999995
2022-12-13 16:00:00,BUY,Bullish Inside Bar,8,42.20575160684441,1813.289,1809.225,1825.4810000000002
2022-12-20 04:30:00,BUY,Bullish Inside Bar,6,27.76657057975808,1790.345,1788.872,1794.764
2022-12-20 05:45:00,BUY,Bullish Pin Bar,6,26.308709470897785,1788.775,1786.564,1795.4080000000001
2022-12-27 16:30:00,BUY,Bullish Inside Bar,6,38.581997768421175,1821.131,1819.064,1827.332
2022-12-29 19:00:00,BUY,Morning Star,9,40.43134157022512,1818.599,1816.075,1826.1709999999996
2023-01-03 05:30:00,BUY,Bullish Inside Bar,8,43.53971783509415,1840.046,1837.551,1847.5310000000004
2023-01-04 06:00:00,BUY,Three White Soldiers,9,40.743121799692,1847.433,1845.267,1853.9309999999998
2023-01-04 06:45:00,BUY,Bullish Inside Bar,8,42.53194157222682,1847.882,1845.805,1854.113
2023-01-06 21:30:00,BUY,Bullish Engulfing,8,39.34258851668612,1866.451,1865.136,1870.3960000000002
2023-01-09 06:45:00,BUY,Bullish Inside Bar,6,40.097929680566814,1878.049,1876.957,1881.3249999999996
2023-01-11 08:30:00,BUY,Bullish Inside Bar,6,32.28378353416077,1883.169,1881.602,1887.8700000000001
2023-01-17 14:45:00,BUY,Bullish Inside Bar,6,25.145602938380907,1913.475,1911.004,1920.888
2023-01-18 14:45:00,BUY,Bullish Pin Bar,10,48.20978150741606,1921.32,1918.143,1930.8509999999997
2023-01-19 05:45:00,BUY,Bullish Inside Bar,6,30.07524900474544,1910.029,1907.943,1916.287
2023-01-20 09:15:00,BUY,Morning Star,8,25.747617983526563,1931.578,1927.603,1943.5029999999997
2023-01-26 04:30:00,BUY,Bullish Engulfing,9,35.11663941012431,1947.908,1945.647,1954.6909999999998
2023-02-01 13:00:00,BUY,Bullish Inside Bar,6,27.969929013837618,1930.423,1929.024,1934.6200000000003
2023-02-02 09:30:00,BUY,Morning Star,8,33.370346932375796,1956.297,1953.18,1965.648
2023-02-02 10:30:00,BUY,Bullish Pin Bar,7,30.70767032204123,1955.868,1953.543,1962.843
2023-02-13 15:45:00,SELL,Evening Star,8,27.692814602141976,1855.201,1858.707,1844.6829999999998
2023-02-15 12:15:00,SELL,Bearish Inside Bar,7,50.524221652832345,1835.572,1837.325,1830.3129999999994
2023-02-15 13:45:00,SELL,Bearish Pin Bar,9,46.110616144406364,1834.668,1839.371,1820.5589999999993
2023-02-17 09:00:00,SELL,Hanging Man,7,49.64116694063744,1822.08,1822.896,1819.6319999999998
2023-02-21 06:00:00,SELL,Bearish Engulfing,7,31.84505654057991,1838.663,1840.19,1834.0819999999999
2023-02-21 07:00:00,SELL,Hanging Man,7,29.1275063091257,1838.456,1839.255,1836.0589999999993
2023-02-21 09:00:00,SELL,Bearish Harami,7,35.90105927298988,1834.078,1835.41,1830.0819999999997
2023-02-24 14:15:00,SELL,Bearish Pin Bar,9,32.023692581707174,1811.258,1814.089,1802.7650000000003
2023-02-27 06:15:00,SELL,Bearish Pin Bar,7,31.678032104984233,1809.069,1810.982,1803.33
2023-02-28 09:15:00,SELL,Bearish Harami,7,35.0557991994915,1812.181,1813.091,1809.4510000000005
2023-02-28 13:15:00,SELL,Hanging Man,6,38.67103269960788,1809.294,1809.907,1807.4550000000006
2023-03-08 05:15:00,SELL,Hanging Man,7,47.304847000761036,1811.265,1811.908,1809.3360000000007
2023-03-10 17:30:00,BUY,Three White Soldiers,8,35.768318647167355,1864.333,1860.55,1875.6820000000005
2023-03-13 19:15:00,BUY,Bullish Engulfing,7,33.818086729876164,1912.387,1907.42,1927.2879999999996
2023-03-15 16:15:00,BUY,Three White Soldiers,9,40.72189733654072,1933.819,1929.43,1946.9859999999996
2023-03-17 07:15:00,BUY,Bullish Harami,8,41.72630811710408,1929.468,1928.57,1932.1620000000005
2023-03-17 12:30:00,BUY,Three White Soldiers,10,40.23034838509347,1944.269,1940.135,1956.671
2023-03-22 19:15:00,BUY,Bullish Inside Bar,7,31.165045569637815,1967.996,1960.264,1991.1920000000007
2023-03-23 07:15:00,BUY,Bullish Engulfing,10,40.94747832328059,1982.71,1976.1,2002.5400000000004
2023-03-23 08:00:00,BUY,Bullish Inside Bar,8,39.78073302804716,1978.041,1975.475,1985.739
2023-03-30 12:45:00,BUY,Bullish Inside Bar,7,38.19514658659757,1970.249,1967.427,1978.7150000000004
2023-03-30 15:30:00,BUY,Bullish Inside Bar,6,32.93351330599947,1974.36,1971.699,1982.3429999999994
2023-04-03 13:30:00,BUY,Bullish Pin Bar,11,54.7860798509801,1979.917,1971.843,2004.1389999999994
2023-04-04 22:15:00,BUY,Bullish Inside Bar,8,52.93632331732232,2021.252,2019.276,2027.1799999999996
2023-04-05 07:15:00,BUY,Bullish Pin Bar,9,34.129108500829055,2027.153,2023.611,2037.7789999999998
2023-04-11 06:00:00,BUY,Morning Star,8,27.3913574735513,2000.289,1997.953,2007.297
2023-04-11 09:45:00,BUY,Bullish Inside Bar,6,31.462145656962605,2004.493,2002.897,2009.281
2023-04-13 15:30:00,BUY,Three White Soldiers,9,46.97678211934669,2041.795,2039.111,2049.8469999999998
2023-04-19 16:00:00,BUY,Morning Star,8,36.81310913746411,1992.795,1989.8,2001.7800000000004
2023-04-27 05:30:00,BUY,Bullish Inside Bar,7,36.35429531426108,2000.895,1998.791,2007.207
2023-04-27 06:30:00,BUY,Bullish Inside Bar,7,33.73094524391028,2001.847,1999.022,2010.3220000000001
2023-05-03 22:15:00,BUY,Bullish Inside Bar,7,41.39094484472749,2058.095,2046.322,2093.4139999999998
2023-05-04 04:15:00,BUY,Three White Soldiers,7,30.483440394131563,2043.265,2041.457,2048.6890000000003
2023-05-09 20:00:00,BUY,Bullish Inside Bar,6,27.36634143583276,2034.746,2033.586,2038.2260000000003
2023-05-15 06:45:00,BUY,Morning Star,7,26.612907091114124,2016.489,2014.728,2021.772
2023-05-17 08:15:00,SELL,Hanging Man,6,30.53770052452027,1987.408,1988.478,1984.1979999999994
2023-05-17 12:15:00,SELL,Hanging Man,6,29.980737167162165,1985.211,1987.145,1979.409
2023-05-17 13:45:00,SELL,Three Black Crows,9,33.73935064961468,1977.645,1982.203,1963.971
2023-05-18 07:15:00,SELL,Hanging Man,7,26.066395154525722,1977.997,1978.705,1975.8730000000005
2023-05-18 20:15:00,SELL,Bearish Inside Bar,6,39.40580538210178,1957.125,1958.1,1954.2000000000003
2023-05-24 19:45:00,SELL,Bearish Engulfing,9,40.30859354010958,1958.972,1961.436,1951.5800000000002
2023-05-26 14:45:00,SELL,Hanging Man,7,27.530154385953928,1942.03,1942.954,1939.258
2023-06-05 04:00:00,SELL,Evening Star,10,48.21370306726322,1945.153,1947.838,1937.0980000000002
2023-06-05 08:30:00,SELL,Evening Star,9,40.09885710646038,1941.128,1942.674,1936.4899999999998
2023-06-07 23:00:00,SELL,Bearish Engulfing,6,26.107851355804144,1941.955,1942.905,1939.1049999999998
2023-06-13 13:45:00,SELL,Bearish Pin Bar,10,38.32203016556377,1954.097,1957.831,1942.8950000000002
2023-06-14 19:00:00,SELL,Bearish Engulfing,9,31.84302210724362,1948.037,1952.016,1936.1
2023-06-16 16:00:00,SELL,Bearish Inside Bar,6,30.55002006356785,1955.624,1957.335,1950.491
2023-06-21 14:00:00,SELL,Bearish Harami,8,41.43755359453023,1927.618,1929.764,1921.18
2023-06-28 13:00:00,SELL,Hanging Man,6,28.24064131388987,1906.543,1907.744,1902.9399999999998
2023-07-03 09:15:00,SELL,Bearish Inside Bar,6,29.844157451222152,1913.063,1914.611,1908.419
2023-07-18 12:45:00,BUY,Bullish Inside Bar,7,26.417599508091772,1968.713,1960.35,1993.8020000000001
2023-07-18 14:15:00,BUY,Three White Soldiers,9,35.35446388367831,1981.471,1975.256,2000.1159999999998
2023-07-18 22:15:00,BUY,Bullish Engulfing,7,26.909838611237333,1978.985,1978.148,1981.4959999999999
2023-07-26 10:45:00,BUY,Morning Star,9,35.464358692811906,1971.655,1969.854,1977.0579999999998
2023-07-26 12:00:00,BUY,Bullish Pin Bar,9,35.93081565781221,1972.332,1970.705,1977.2130000000006
2023-07-26 15:00:00,BUY,Three White Soldiers,6,27.858155651980624,1970.856,1967.983,1979.4750000000001
2023-07-28 12:15:00,BUY,Bullish Pin Bar,9,27.575449775920596,1956.38,1953.805,1964.1050000000002
2023-07-28 13:30:00,BUY,Bullish Pin Bar,8,30.89665639843173,1955.979,1952.054,1967.754
2023-08-07 07:15:00,SELL,Bearish Engulfing,9,32.96683245227415,1936.627,1938.417,1931.257
2023-08-07 11:00:00,SELL,Bearish Inside Bar,6,37.90615398632602,1934.674,1935.731,1931.503
2023-08-08 12:30:00,SELL,Bearish Pin Bar,9,29.550570302165323,1925.339,1930.237,1910.6449999999995
2023-08-08 13:15:00,SELL,Bearish Engulfing,7,29.856154274373228,1924.761,1929.372,1910.9279999999997
2023-08-09 11:45:00,SELL,Bearish Inside Bar,7,34.15637524927581,1924.564,1926.617,1918.4050000000004
2023-08-16 22:45:00,SELL,Bearish Engulfing,10,46.03715904132408,1894.305,1895.064,1892.028
2023-08-25 06:00:00,SELL,Hanging Man,6,33.24462265803575,1914.154,1915.065,1911.4209999999998
2023-08-29 22:45:00,BUY,Bullish Inside Bar,7,39.61341277703013,1937.13,1936.429,1939.2330000000002
2023-09-06 09:15:00,SELL,Evening Star,8,27.0853037707659,1923.323,1925.177,1917.7610000000006
2023-09-19 11:45:00,BUY,Bullish Pin Bar,8,37.64654050373526,1935.207,1933.93,1939.0380000000002
2023-09-26 06:45:00,SELL,Three Black Crows,9,35.07353354446195,1910.461,1912.405,1904.6290000000001
2023-09-26 15:15:00,SELL,Bearish Inside Bar,6,39.06956314265136,1903.302,1904.809,1898.7809999999997
2023-09-27 06:15:00,SELL,Bearish Harami,6,26.22448594280851,1896.898,1897.968,1893.6879999999994
2023-09-27 19:15:00,SELL,Bearish Inside Bar,8,52.77422384666413,1876.65,1878.503,1871.0910000000006
2023-10-05 09:45:00,SELL,Bearish Pin Bar,7,32.22118019070935,1821.912,1823.815,1816.203
2023-10-05 13:45:00,SELL,Hanging Man,7,28.941704435839814,1820.63,1822.342,1815.4940000000001
2023-10-05 14:30:00,SELL,Hanging Man,6,28.517095985175747,1819.056,1820.418,1814.9700000000005
2023-10-16 12:45:00,BUY,Bullish Pin Bar,9,28.29242196526163,1918.674,1916.365,1925.6009999999999
2023-10-16 13:30:00,BUY,Bullish Pin Bar,7,26.807666505698393,1918.525,1913.88,1932.46
2023-10-17 14:00:00,BUY,Bullish Inside Bar,7,26.604645063673193,1930.282,1926.184,1942.5759999999998
2023-10-19 23:00:00,BUY,Bullish Engulfing,9,35.56722296337716,1976.756,1971.929,1991.237
2023-10-20 06:45:00,BUY,Morning Star,9,27.71948481284857,1979.321,1975.001,1992.2809999999997
2023-10-20 09:45:00,BUY,Bullish Pin Bar,7,31.65445808568434,1982.564,1979.757,1990.9850000000001
2023-10-20 14:00:00,BUY,Three White Soldiers,9,26.40243177746931,1990.531,1986.529,2002.5369999999998
2023-10-30 14:00:00,BUY,Morning Star,8,26.79604335600973,2000.49,1997.437,2009.6490000000003
2023-10-31 14:00:00,BUY,Three White Soldiers,9,25.789388935421407,2005.372,1999.441,2023.1650000000002
2023-11-07 23:30:00,BUY,Bullish Engulfing,8,26.83812568067886,1969.048,1967.689,1973.1249999999998
2023-11-09 18:00:00,BUY,Bullish Pin Bar,9,36.845248834574264,1962.058,1957.831,1974.7390000000003
2023-11-15 09:45:00,BUY,Bullish Inside Bar,6,37.774072079838305,1971.395,1969.973,1975.661
2023-11-21 07:15:00,BUY,Bullish Pin Bar,9,47.76673589691995,1992.235,1990.412,1997.7039999999995
2023-11-22 09:00:00,BUY,Morning Star,8,29.962770724179776,2001.616,1998.973,2009.545
2023-11-27 04:15:00,BUY,Bullish Inside Bar,7,37.44863838212979,2010.292,2008.745,2014.933
2023-11-27 05:30:00,BUY,Bullish Inside Bar,6,34.71780267527392,2012.057,2010.374,2017.106
