context_type,family_id,gap_previous,gap_current,gap_minutes,date,year,month,weekday,previous_clock,current_clock,before_count,after_count,full_before_context,full_after_context,before_internal_gaps,after_internal_gaps,context_is_continuous,first_before_time,last_before_time,first_after_time,last_after_time,first_before_open,last_before_close,first_after_open,last_after_close,before_high,before_low,after_high,after_low,before_close_to_after_open_change
UNCLASSIFIED,,2021-08-26 20:58:00,2021-08-26 22:00:00,62.0,2021-08-26,2021,8,Thursday,20:58,22:00,5,5,True,True,0,0,True,2021-08-26 20:54:00,2021-08-26 20:58:00,2021-08-26 22:00:00,2021-08-26 22:04:00,1791.562,1791.938,1792.424,1792.452,1791.972,1791.519,1793.163,1792.234,0.4859999999998763
UNCLASSIFIED,,2021-08-27 20:58:00,2021-08-29 22:00:00,2942.0,2021-08-27,2021,8,Friday,20:58,22:00,5,5,True,True,0,1,False,2021-08-27 20:54:00,2021-08-27 20:58:00,2021-08-29 22:00:00,2021-08-29 22:08:00,1817.901,1816.778,1817.936,1818.328,1818.173,1816.76,1819.111,1817.133,1.1579999999999018
UNCLASSIFIED,,2021-08-29 22:00:00,2021-08-29 22:05:00,5.0,2021-08-29,2021,8,Sunday,22:00,22:05,5,5,True,True,1,0,False,2021-08-27 20:55:00,2021-08-29 22:00:00,2021-08-29 22:05:00,2021-08-29 22:09:00,1817.838,1817.82,1817.936,1818.425,1819.111,1816.76,1818.569,1817.271,0.11599999999998545
UNCLASSIFIED,,2021-08-30 20:58:00,2021-08-30 22:00:00,62.0,2021-08-30,2021,8,Monday,20:58,22:00,5,5,True,True,0,0,True,2021-08-30 20:54:00,2021-08-30 20:58:00,2021-08-30 22:00:00,2021-08-30 22:04:00,1810.127,1810.203,1809.92,1809.937,1810.203,1809.879,1810.361,1809.666,-0.2829999999999018
UNCLASSIFIED,,2021-08-31 20:58:00,2021-08-31 22:00:00,62.0,2021-08-31,2021,8,Tuesday,20:58,22:00,5,5,True,True,0,0,True,2021-08-31 20:54:00,2021-08-31 20:58:00,2021-08-31 22:00:00,2021-08-31 22:04:00,1814.207,1813.621,1814.249,1814.319,1814.337,1813.597,1814.561,1813.576,0.6279999999999291
UNCLASSIFIED,,2021-09-01 20:58:00,2021-09-01 22:00:00,62.0,2021-09-01,2021,9,Wednesday,20:58,22:00,5,5,True,True,0,0,True,2021-09-01 20:54:00,2021-09-01 20:58:00,2021-09-01 22:00:00,2021-09-01 22:04:00,1813.688,1814.044,1813.642,1813.84,1814.044,1813.588,1814.036,1813.642,-0.40200000000004366
UNCLASSIFIED,,2021-09-02 20:58:00,2021-09-02 22:00:00,62.0,2021-09-02,2021,9,Thursday,20:58,22:00,5,5,True,True,0,0,True,2021-09-02 20:54:00,2021-09-02 20:58:00,2021-09-02 22:00:00,2021-09-02 22:04:00,1809.553,1809.39,1809.427,1809.447,1809.591,1809.312,1809.642,1808.956,0.03699999999980719
UNCLASSIFIED,,2021-09-03 20:58:00,2021-09-05 22:00:00,2942.0,2021-09-03,2021,9,Friday,20:58,22:00,5,5,True,True,0,1,False,2021-09-03 20:54:00,2021-09-03 20:58:00,2021-09-05 22:00:00,2021-09-05 22:08:00,1827.514,1827.573,1828.089,1829.764,1827.601,1827.186,1830.149,1828.083,0.515999999999849
UNCLASSIFIED,,2021-09-05 22:00:00,2021-09-05 22:05:00,5.0,2021-09-05,2021,9,Sunday,22:00,22:05,5,5,True,True,1,0,False,2021-09-03 20:55:00,2021-09-05 22:00:00,2021-09-05 22:05:00,2021-09-05 22:09:00,1827.601,1828.517,1828.089,1829.575,1830.149,1827.186,1829.815,1828.083,-0.42800000000011096
UNCLASSIFIED,,2021-09-06 17:03:00,2021-09-06 17:06:00,3.0,2021-09-06,2021,9,Monday,17:03,17:06,5,5,True,True,0,1,False,2021-09-06 16:59:00,2021-09-06 17:03:00,2021-09-06 17:06:00,2021-09-06 22:03:00,1823.413,1823.102,1823.089,1823.525,1823.49,1822.841,1823.849,1821.892,-0.013000000000147338
