date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-03-31,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,3,Thursday
2022-04-04,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Monday
2022-04-05,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Tuesday
2022-04-06,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Wednesday
2022-04-07,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Thursday
2022-04-11,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Monday
2022-04-12,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Tuesday
2022-04-13,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Wednesday
2022-04-18,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Monday
2022-04-19,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Tuesday
2022-04-20,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Wednesday
2022-04-21,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Thursday
2022-04-25,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Monday
2022-04-26,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Tuesday
2022-04-27,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Wednesday
2022-04-28,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,4,Thursday
2022-05-02,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Monday
2022-05-03,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Tuesday
2022-05-04,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Wednesday
2022-05-05,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Thursday
2022-05-09,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Monday
2022-05-10,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Tuesday
2022-05-11,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Wednesday
2022-05-12,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Thursday
2022-05-16,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Monday
